Nummer,Straße,Anteil Arbeitslose,Anteil Transferbezieher,Anteil Transferbeizieher unter 15,Gesamtindex,Longitude,Latitude
6020304,Kaiser-Wilhelm-Straße,7.93,10.38,26.98,mittel,13.3458114,52.4363835
6020305,Gemeindepark Lankwitz,8.16,12.61,33.0,mittel,13.350080584354387,52.43134175
6020306,Lankwitz Süd,4.73,5.36,14.54,mittel,13.362284993251034,52.42317665
6020407,Thermometersiedlung,11.62,20.34,60.57,niedrig,13.314622949983283,52.41431735
6020408,Lichterfelde Süd,7.11,9.68,27.27,mittel,13.3085527,52.4099669
6020409,Königsberger Straße,5.81,5.59,14.05,mittel,13.4436121,52.5149483
6020410,Oberhofer Platz,4.13,3.85,7.21,mittel,13.328173774065391,52.424791150000004
6020411,Schütte-Lanz-Straße,4.57,5.49,12.58,mittel,13.3313105,52.4093744
6030501,Berlepschstraße,3.68,3.92,10.2,hoch,13.226431,52.4209438
6030502,Zehlendorf Süd,6.92,8.24,23.5,mittel,13.240168053968436,52.4255052
6030503,Zehlendorf Mitte,4.81,6.09,14.31,mittel,13.2599256,52.4349053
6030504,Teltower Damm,3.16,2.92,6.26,hoch,13.2668011,52.4127572
6030605,Botanischer Garten,5.56,5.5,14.25,mittel,13.304122526030515,52.45439665
6030606,Hindenburgdamm,6.93,7.89,18.03,mittel,13.3153634,52.4511098
6030607,Goerzwerke,3.46,3.58,11.14,hoch,0,0
